SA1_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
50101100101,0,4,3,11,6,12,6,6,0,48,48,32,42,49,53,71,49,21,3,369
50101100102,57,8,10,46,12,11,5,0,0,153,434,81,120,316,182,112,81,26,9,1366
50101100103,6,0,0,3,8,4,6,5,3,48,31,11,16,26,42,70,112,79,52,453
50101100104,12,6,0,4,4,5,8,0,4,40,57,22,39,38,52,79,103,63,27,479
50101100105,3,0,3,3,0,0,7,0,0,20,32,16,16,24,34,46,84,17,18,289
50101100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
50101100107,0,0,7,0,3,5,4,0,0,25,43,18,26,45,50,90,71,33,9,378
50101100108,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10
50101100109,9,0,0,6,9,11,9,6,0,60,89,45,47,67,94,98,85,25,0,547
50101100110,3,5,3,0,5,0,5,0,0,25,37,17,34,29,36,52,35,11,3,252
50101100111,14,4,6,14,4,13,5,0,0,62,120,32,66,111,61,96,57,21,4,565
50101100112,25,5,9,10,5,3,3,3,0,62,87,25,48,66,53,80,52,33,3,448
50101100113,3,0,0,4,4,0,0,5,5,22,35,13,12,21,34,46,57,25,6,240
50101100114,22,6,9,15,17,6,6,3,0,87,158,38,49,106,110,86,39,18,12,619
50101100115,7,4,3,6,3,4,5,0,0,37,67,21,30,55,51,63,66,20,5,388
50101100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50101100301,0,9,0,0,3,6,4,6,0,28,21,22,22,21,17,47,37,32,12,233
50101100302,0,0,0,3,0,0,0,0,0,13,84,26,20,56,48,31,30,16,0,315
50101100303,4,0,5,0,4,3,7,0,0,20,45,26,13,37,45,65,68,32,4,322
50101100304,3,0,6,3,0,8,5,0,0,37,52,32,34,33,40,28,29,10,0,261
50101100305,8,4,0,7,13,0,5,5,5,57,50,28,28,33,43,50,40,19,6,302
50101100306,5,5,5,3,3,3,0,0,0,23,87,38,48,66,54,86,48,23,0,460
50101100307,3,0,0,4,0,0,8,0,0,20,60,22,21,43,43,51,41,18,0,307
50101100308,5,0,5,5,4,3,3,0,0,35,76,28,23,47,57,82,62,19,0,389
50101100310,3,0,0,6,0,5,0,4,0,28,74,41,35,51,60,76,84,31,4,464
50101100311,0,0,0,3,0,0,0,3,0,11,81,11,22,56,36,39,25,18,0,302
50101100312,8,3,6,7,4,3,9,9,0,61,53,16,31,56,44,45,72,44,13,370
50101100313,0,0,15,0,0,0,3,0,0,34,55,19,69,52,23,29,39,21,12,309
50101100314,4,4,6,5,6,3,0,0,0,24,48,19,40,36,28,54,29,7,6,266
50101100315,22,9,3,7,18,10,15,3,0,89,108,40,46,69,87,79,78,26,3,538
50101100316,11,0,0,7,3,0,5,0,0,23,64,19,33,42,50,57,53,16,3,339
50101100317,5,3,3,0,10,11,7,0,0,43,105,43,46,59,98,90,66,19,7,535
50101100319,0,0,8,0,0,0,0,5,0,19,41,22,30,21,43,47,64,47,8,321
50101100320,10,7,4,4,6,5,3,0,0,37,158,42,48,99,76,78,96,42,9,650
50101100321,0,6,4,3,12,3,8,0,0,40,144,47,26,63,91,50,48,15,0,498
50101100322,0,4,9,11,6,16,5,0,0,59,42,15,40,44,31,76,69,12,3,331
50101100323,13,0,9,8,0,3,0,0,0,41,79,15,15,39,39,32,28,8,0,258
50101100324,0,0,0,4,3,0,7,3,0,18,81,35,24,55,59,74,69,23,3,417
50101100325,18,4,8,15,5,3,4,0,0,64,173,53,84,131,92,49,54,25,6,657
50101100326,11,3,6,3,3,0,5,6,0,34,104,40,67,75,55,34,44,21,0,443
50101100328,12,5,8,5,4,8,8,0,0,51,213,63,67,129,142,96,98,44,11,857
50101100329,11,9,0,9,8,9,5,7,0,69,112,52,39,89,68,56,79,50,9,548
50101100330,10,4,13,6,14,27,32,11,0,107,33,14,40,33,57,72,99,29,3,375
50101100331,8,0,4,10,3,0,4,0,0,29,163,44,114,130,70,41,48,12,3,627
50101100332,4,0,0,4,6,12,3,0,0,23,45,10,19,38,33,46,29,8,5,230
50101100401,11,4,0,4,4,3,0,0,0,27,112,39,35,59,87,47,46,26,4,446
50101100405,8,4,0,7,18,19,5,0,0,74,100,52,55,71,103,86,37,9,3,514
50101100406,6,5,8,6,14,4,3,0,0,47,75,46,66,65,75,60,50,10,7,461
50101100407,12,12,8,11,9,11,3,3,5,73,46,30,63,54,60,43,50,57,51,448
50101100408,0,0,10,9,10,21,6,3,0,68,31,41,69,55,45,96,61,18,6,419
50101100410,31,9,19,7,15,8,9,0,0,88,260,96,184,187,110,66,57,12,0,978
50101100411,4,8,6,3,4,13,9,0,0,51,37,30,50,53,54,43,30,13,3,321
50101100412,13,5,3,12,5,16,10,6,0,73,65,41,24,46,57,87,72,32,7,430
50101100413,10,3,7,0,10,7,3,0,0,46,139,46,46,87,101,89,61,12,13,605
50101100414,16,0,10,8,11,6,3,0,0,58,127,38,45,74,101,88,85,25,0,590
50101100416,7,7,13,8,10,3,13,3,0,60,113,51,53,83,100,66,63,25,6,561
50101100417,8,10,4,8,7,8,3,0,0,42,101,36,38,72,82,126,70,13,3,547
50101100418,3,4,0,0,4,5,5,0,0,22,23,18,22,18,26,39,41,4,0,195
50101100419,5,0,0,7,3,0,3,0,0,21,72,22,45,61,47,26,24,6,0,309
50101100420,3,4,7,0,3,3,0,0,0,22,87,40,46,86,76,30,17,6,0,393
