POW_SA3_CODE_2021,IE_AgFF_OMOE_Nil_em,IE_AgFF_OMOE_1_19_em,IE_AgFF_OMOE_20mo_em,IE_AgFF_OMOE_NE_NS,IE_AgFF_Tot,IE_Min_OMOE_Nil_em,IE_Min_OMOE_1_19_em,IE_Min_OMOE_20mo_em,IE_Min_OMOE_NE_NS,IE_Min_Tot,IE_Mnf_OMOE_Nil_em,IE_Mnf_OMOE_1_19_em,IE_Mnf_OMOE_20mo_em,IE_Mnf_OMOE_NE_NS,IE_Mnf_Tot,IE_EGWWS_OMOE_Nil_em,IE_EGWWS_OMOE_1_19_em,IE_EGWWS_OMOE_20mo_em,IE_EGWWS_OMOE_NE_NS,IE_EGWWS_Tot,IE_Const_OMOE_Nil_em,IE_Const_OMOE_1_19_em,IE_Const_OMOE_20mo_em,IE_Const_OMOE_NE_NS,IE_Const_Tot,IE_WST_OMOE_Nil_em,IE_WST_OMOE_1_19_em,IE_WST_OMOE_20mo_em,IE_WST_OMOE_NE_NS,IE_WST_Tot,IE_RetT_OMOE_Nil_em,IE_RetT_OMOE_1_19_em,IE_RetT_OMOE_20mo_em,IE_RetT_OMOE_NE_NS,IE_RetT_Tot,IE_AcFd_OMOE_Nil_em,IE_AcFd_OMOE_1_19_em,IE_AcFd_OMOE_20mo_em,IE_AcFd_OMOE_NE_NS,IE_AcFd_Tot,IE_TPW_OMOE_Nil_em,IE_TPW_OMOE_1_19_em,IE_TPW_OMOE_20mo_em,IE_TPW_OMOE_NE_NS,IE_TPW_Tot,IE_IMT_OMOE_Nil_em,IE_IMT_OMOE_1_19_em,IE_IMT_OMOE_20mo_em,IE_IMT_OMOE_NE_NS,IE_IMT_Tot,IE_FinIns_OMOE_Nil_em,IE_FinIns_OMOE_1_19_em,IE_FinIns_OMOE_20mo_em,IE_FinIns_OMOE_NE_NS,IE_FinIns_Tot,IE_RHRE_OMOE_Nil_em,IE_RHRE_OMOE_1_19_em,IE_RHRE_OMOE_20mo_em,IE_RHRE_OMOE_NE_NS,IE_RHRE_Tot,IE_ProSTS_OMOE_Nil_em,IE_ProSTS_OMOE_1_19_em,IE_ProSTS_OMOE_20mo_em,IE_ProSTS_OMOE_NE_NS,IE_ProSTS_Tot,IE_AdSup_OMOE_Nil_em,IE_AdSup_OMOE_1_19_em,IE_AdSup_OMOE_20mo_em,IE_AdSup_OMOE_NE_NS,IE_AdSup_Tot,IE_PubAS_OMOE_Nil_em,IE_PubAS_OMOE_1_19_em,IE_PubAS_OMOE_20mo_em,IE_PubAS_OMOE_NE_NS,IE_PubAS_Tot,IE_EdTrn_OMOE_Nil_em,IE_EdTrn_OMOE_1_19_em,IE_EdTrn_OMOE_20mo_em,IE_EdTrn_OMOE_NE_NS,IE_EdTrn_Tot,IE_HC_SA_OMOE_Nil_em,IE_HC_SA_OMOE_1_19_em,IE_HC_SA_OMOE_20mo_em,IE_HC_SA_OMOE_NE_NS,IE_HC_SA_Tot,IE_ArtsR_OMOE_Nil_em,IE_ArtsR_OMOE_1_19_em,IE_ArtsR_OMOE_20mo_em,IE_ArtsR_OMOE_NE_NS,IE_ArtsR_Tot,IE_OthSvs_OMOE_Nil_em,IE_OthSvs_OMOE_1_19_em,IE_OthSvs_OMOE_20mo_em,IE_OthSvs_OMOE_NE_NS,IE_OthSvs_Tot,IE_IDNS_OMOE_Nil_em,IE_IDNS_OMOE_1_19_em,IE_IDNS_OMOE_20mo_em,IE_IDNS_OMOE_NE_NS,IE_IDNS_Tot,IE_Tot_OMOE_Nil_em,IE_Tot_OMOE_1_19_em,IE_Tot_OMOE_20mo_em,IE_Tot_OMOE_NE_NS,IE_Tot_Tot,UIE_AgFF_OMOE_Nil_em,UIE_AgFF_OMOE_1_19_em,UIE_AgFF_OMOE_20mo_em,UIE_AgFF_OMOE_NE_NS,UIE_AgFF_Tot,UIE_Min_OMOE_Nil_em,UIE_Min_OMOE_1_19_em,UIE_Min_OMOE_20mo_em,UIE_Min_OMOE_NE_NS,UIE_Min_Tot,UIE_Mnf_OMOE_Nil_em,UIE_Mnf_OMOE_1_19_em,UIE_Mnf_OMOE_20mo_em,UIE_Mnf_OMOE_NE_NS,UIE_Mnf_Tot,UIE_EGWWS_OMOE_Nil_em,UIE_EGWWS_OMOE_1_19_em,UIE_EGWWS_OMOE_20mo_em,UIE_EGWWS_OMOE_NE_NS,UIE_EGWWS_Tot,UIE_Const_OMOE_Nil_em,UIE_Const_OMOE_1_19_em,UIE_Const_OMOE_20mo_em,UIE_Const_OMOE_NE_NS,UIE_Const_Tot,UIE_WST_OMOE_Nil_em,UIE_WST_OMOE_1_19_em,UIE_WST_OMOE_20mo_em,UIE_WST_OMOE_NE_NS,UIE_WST_Tot,UIE_RetT_OMOE_Nil_em,UIE_RetT_OMOE_1_19_em,UIE_RetT_OMOE_20mo_em,UIE_RetT_OMOE_NE_NS,UIE_RetT_Tot,UIE_AcFd_OMOE_Nil_em,UIE_AcFd_OMOE_1_19_em,UIE_AcFd_OMOE_20mo_em,UIE_AcFd_OMOE_NE_NS,UIE_AcFd_Tot,UIE_TPW_OMOE_Nil_em,UIE_TPW_OMOE_1_19_em,UIE_TPW_OMOE_20mo_em,UIE_TPW_OMOE_NE_NS,UIE_TPW_Tot,UIE_IMT_OMOE_Nil_em,UIE_IMT_OMOE_1_19_em,UIE_IMT_OMOE_20mo_em,UIE_IMT_OMOE_NE_NS,UIE_IMT_Tot,UIE_FinIns_OMOE_Nil_em,UIE_FinIns_OMOE_1_19_em,UIE_FinIns_OMOE_20mo_em,UIE_FinIns_OMOE_NE_NS,UIE_FinIns_Tot,UIE_RHRE_OMOE_Nil_em,UIE_RHRE_OMOE_1_19_em,UIE_RHRE_OMOE_20mo_em,UIE_RHRE_OMOE_NE_NS,UIE_RHRE_Tot,UIE_ProSTS_OMOE_Nil_em,UIE_ProSTS_OMOE_1_19_em,UIE_ProSTS_OMOE_20mo_em,UIE_ProSTS_OMOE_NE_NS,UIE_ProSTS_Tot,UIE_AdSup_OMOE_Nil_em,UIE_AdSup_OMOE_1_19_em,UIE_AdSup_OMOE_20mo_em,UIE_AdSup_OMOE_NE_NS,UIE_AdSup_Tot,UIE_PubAS_OMOE_Nil_em,UIE_PubAS_OMOE_1_19_em,UIE_PubAS_OMOE_20mo_em,UIE_PubAS_OMOE_NE_NS,UIE_PubAS_Tot,UIE_EdTrn_OMOE_Nil_em,UIE_EdTrn_OMOE_1_19_em,UIE_EdTrn_OMOE_20mo_em,UIE_EdTrn_OMOE_NE_NS,UIE_EdTrn_Tot,UIE_HC_SA_OMOE_Nil_em,UIE_HC_SA_OMOE_1_19_em,UIE_HC_SA_OMOE_20mo_em,UIE_HC_SA_OMOE_NE_NS,UIE_HC_SA_Tot,UIE_ArtsR_OMOE_Nil_em,UIE_ArtsR_OMOE_1_19_em,UIE_ArtsR_OMOE_20mo_em,UIE_ArtsR_OMOE_NE_NS,UIE_ArtsR_Tot,UIE_OthSvs_OMOE_Nil_em,UIE_OthSvs_OMOE_1_19_em,UIE_OthSvs_OMOE_20mo_em,UIE_OthSvs_OMOE_NE_NS,UIE_OthSvs_Tot
50101,58,81,9,0,143,13,5,0,0,27,40,98,12,0,154,0,6,0,0,4,89,234,8,5,341,14,24,0,0,37,20,128,12,0,159,29,127,57,0,215,13,27,0,0,42,4,3,0,0,10,21,34,0,0,53,14,29,8,0,51,84,96,4,0,185,20,36,14,0,72,0,0,0,0,0,11,13,4,0,28,35,46,6,0,87,12,20,0,0,30,25,65,0,0,91,26,51,0,0,75,524,1130,144,8,1807,180,84,5,3,271,4,0,0,0,8,136,42,0,0,182,4,0,0,0,4,416,145,0,4,559,20,11,0,0,25,66,88,8,0,161,132,83,5,0,219,52,15,0,0,71,12,0,0,0,14,15,0,0,0,15,25,5,4,0,31,266,36,0,0,302,161,40,3,0,208,11,0,0,0,12,92,13,0,0,107,222,40,7,0,270,70,8,0,0,78,191,53,0,0,247
50102,36,65,16,4,123,15,29,9,0,59,27,78,24,0,124,3,11,0,0,14,103,225,51,4,375,10,31,5,0,48,19,158,22,0,200,6,80,20,0,104,20,65,16,0,102,3,7,0,0,10,45,47,6,0,94,17,28,7,0,52,68,104,17,0,191,18,37,4,0,53,0,13,4,0,20,14,18,0,0,36,38,113,12,0,161,6,14,0,0,24,31,102,5,0,139,19,33,7,0,71,503,1260,229,10,1993,189,77,0,0,268,11,0,0,0,9,75,41,0,0,118,12,9,0,0,17,331,144,3,3,485,16,12,0,0,32,98,90,4,0,191,59,55,5,0,119,71,19,0,0,91,7,3,0,0,14,31,8,0,0,39,18,6,0,0,27,157,44,3,0,210,145,34,5,0,177,11,4,0,0,18,100,16,0,0,117,217,58,0,0,279,64,13,0,0,80,226,111,3,0,343
50103,72,173,28,4,273,0,5,0,0,11,7,30,3,0,42,0,0,0,0,3,21,52,0,0,80,4,16,0,0,16,3,42,8,0,57,10,39,0,0,52,10,17,0,0,32,0,0,0,0,0,4,4,0,0,8,3,17,0,0,13,13,17,0,0,31,0,7,0,0,5,0,0,0,0,0,0,0,0,0,6,7,10,0,0,23,0,0,0,0,0,7,17,0,0,24,9,7,0,4,21,183,452,55,7,695,298,153,5,8,459,0,5,0,0,3,30,19,0,0,53,0,0,0,0,3,91,44,0,3,129,3,3,0,0,9,42,45,0,0,84,42,32,5,0,81,26,10,0,0,41,0,4,0,0,5,0,0,0,0,0,6,0,0,0,10,40,7,0,0,51,40,6,0,0,54,0,0,0,0,0,19,5,0,0,22,61,10,0,0,70,34,0,0,0,34,82,33,0,0,113
50201,21,16,3,0,36,18,9,0,0,30,28,72,6,0,108,9,6,0,0,13,122,189,5,0,317,4,17,0,0,23,37,101,25,0,162,13,60,38,0,108,36,33,4,0,74,5,3,0,0,10,31,29,0,0,61,22,46,3,0,78,64,81,8,0,156,20,31,7,0,59,10,11,0,0,19,11,14,0,0,27,48,100,18,0,166,14,22,0,0,31,36,79,4,0,119,41,43,7,3,94,579,965,134,6,1683,55,14,0,4,74,13,3,0,0,10,68,32,0,0,104,0,4,0,0,3,343,148,0,0,491,12,17,0,0,25,91,74,12,0,175,50,56,0,0,106,92,18,0,0,108,10,3,0,0,11,25,0,0,0,24,25,6,0,0,29,145,23,7,0,172,178,32,0,0,214,3,0,0,0,7,91,10,0,0,99,279,28,5,0,321,55,3,0,0,56,253,85,5,0,345
50301,10,19,0,0,23,45,15,3,0,66,16,27,17,0,62,11,4,0,0,10,121,128,15,0,267,8,15,5,0,36,50,139,18,0,208,8,111,39,0,155,8,10,0,0,17,17,10,0,0,30,120,77,9,0,208,96,106,13,0,208,371,302,26,3,706,29,38,6,0,74,10,6,4,0,24,41,32,3,0,71,75,197,33,3,303,16,13,3,0,32,19,56,0,0,79,61,70,5,3,143,1131,1380,211,13,2731,12,8,0,0,19,32,0,4,0,37,40,7,0,0,41,0,0,0,0,0,230,50,0,0,286,11,0,0,0,17,61,43,5,0,112,32,36,0,0,68,33,0,0,0,31,33,0,0,0,34,62,19,0,0,72,48,16,0,0,61,377,54,5,0,444,90,11,0,0,100,14,0,0,0,14,188,16,0,0,203,368,138,15,0,524,95,8,0,0,101,180,48,0,0,232
50302,18,15,3,0,37,228,129,37,0,398,36,107,33,0,179,22,17,4,0,46,211,323,40,0,571,33,78,11,0,132,95,283,45,0,422,68,507,118,0,696,49,34,9,0,90,45,50,19,0,110,253,448,69,0,767,119,272,60,0,449,817,1660,499,0,2983,85,162,67,0,312,42,69,18,0,125,76,128,43,0,250,213,485,98,0,799,43,72,11,0,134,85,260,11,0,356,157,226,52,5,444,2684,5330,1268,12,9298,3,0,3,0,5,102,13,0,0,119,85,23,0,4,111,15,0,5,0,20,347,59,9,0,408,24,9,0,0,35,170,116,9,0,291,107,170,11,0,288,138,6,0,3,154,72,8,0,0,81,124,49,10,0,180,70,36,10,0,121,1035,376,351,0,1760,256,42,0,0,302,48,8,0,0,57,274,40,0,0,319,846,281,30,5,1151,253,24,0,0,280,474,132,0,0,604
50401,0,7,0,0,8,22,17,9,0,48,39,125,52,0,214,6,11,0,0,16,142,219,31,0,389,15,45,0,0,70,34,116,14,0,166,14,92,14,0,124,53,40,3,0,93,12,6,0,0,18,30,15,0,0,48,17,48,0,0,66,115,123,13,0,247,15,32,3,6,58,4,4,5,0,14,17,19,3,0,35,42,74,10,0,130,7,26,8,0,35,52,117,7,0,174,32,82,15,4,138,682,1222,179,7,2089,3,0,0,0,3,14,3,0,0,16,93,40,0,0,136,5,3,0,0,13,270,59,0,0,325,29,9,0,0,40,92,67,12,0,172,36,54,0,0,92,160,6,0,0,170,25,0,0,0,25,21,7,0,0,26,16,8,0,0,27,256,41,0,0,298,114,23,4,0,136,15,0,0,0,16,140,10,0,0,149,162,27,0,0,195,100,16,0,0,115,252,76,0,0,328
50402,4,5,0,0,10,21,9,4,0,39,11,48,6,0,64,0,3,0,0,3,67,88,10,0,161,11,5,10,0,27,10,59,8,0,84,8,21,3,0,35,18,39,6,0,60,3,6,0,0,5,17,4,0,0,20,11,12,0,0,20,57,58,0,0,117,11,13,4,0,23,3,7,3,0,16,12,9,0,0,19,16,24,4,0,47,0,7,0,0,4,14,44,0,0,65,21,29,3,0,50,315,477,67,0,856,21,5,0,0,24,7,0,0,0,7,47,18,3,0,66,11,0,0,0,9,170,42,0,4,208,15,0,0,0,20,41,17,0,0,58,17,18,0,0,37,48,6,0,0,61,8,0,0,0,8,10,0,0,0,10,14,10,0,0,23,107,22,0,0,133,63,17,0,0,82,6,0,0,0,6,64,12,0,0,73,123,11,0,0,135,40,0,0,0,43,125,32,0,0,157
50403,24,28,9,0,54,26,43,16,0,85,66,270,65,0,401,11,24,5,0,37,229,485,59,0,773,38,137,34,0,208,49,180,45,0,276,20,130,27,0,175,185,135,22,0,342,19,23,6,0,43,32,54,0,0,90,44,54,11,0,108,97,163,12,0,272,41,68,7,0,126,3,19,12,0,32,30,16,9,0,50,58,102,21,3,188,16,34,7,0,51,91,181,14,0,289,85,144,31,3,260,1168,2282,404,13,3866,81,21,4,0,111,12,7,0,0,17,163,92,4,0,263,5,4,0,0,9,567,137,3,0,706,40,32,4,0,83,143,78,9,0,232,91,95,6,0,188,302,19,0,0,324,26,6,0,0,27,30,8,0,0,34,43,11,0,0,51,245,44,5,0,295,218,29,9,0,251,19,0,5,0,19,145,24,3,0,174,359,55,4,0,411,93,13,0,0,105,450,94,0,0,541
50501,14,4,0,0,14,41,20,0,0,59,32,52,4,0,86,7,7,0,0,14,296,383,18,5,699,23,33,4,0,58,81,152,34,0,266,22,141,53,0,214,37,26,0,0,62,25,14,0,0,35,106,79,0,0,185,54,55,10,0,117,318,240,11,0,573,51,62,6,0,111,17,9,0,0,27,42,29,9,0,80,118,187,44,0,345,18,29,0,0,44,78,141,7,0,224,82,79,3,0,170,1456,1733,187,7,3391,13,3,0,0,21,27,0,0,0,27,104,26,0,0,133,9,0,0,0,9,665,159,0,6,830,30,11,0,0,38,157,65,3,0,222,64,84,5,0,147,129,14,0,0,141,35,0,0,0,36,70,10,0,0,77,60,12,0,0,70,505,54,6,0,560,285,33,0,3,323,18,4,0,0,19,245,33,0,0,274,531,101,14,4,648,117,18,0,0,134,508,80,0,0,587
